image,patch,SIFT,BRISK,ORB,AKAZE
RE_CCA_81cd83e4-5ec9-4ce2-9bc3-015984ed671b.jpg,RE_CCA,118,54,255,25
RE_CCA_5dad74f6-be56-4171-b1c8-67474c9896cc.jpg,RE_CCA,23,3,11,14
RE_CCA_c7054406-e1c9-44c3-a438-9188905a5625.jpg,RE_CCA,171,92,350,90
RE_CCA_c6b8daae-6968-495c-bbd8-54872e5c6793.jpg,RE_CCA,364,185,589,84
RE_CCA_58869921-75bb-41cf-b588-e36f18a87acd.jpg,RE_CCA,249,166,533,60
RE_CCA_1caf6a85-37d0-479d-aded-ed5b9662b0a7.jpg,RE_CCA,174,45,203,35
RE_CCA_f5afae53-a880-4d88-8dcb-03988955c2a2.jpg,RE_CCA,218,120,435,100
RE_CCA_fab12fb2-3e03-4385-b544-4c37b5d23391.jpg,RE_CCA,42,2,14,14
RE_CCA_c361fae1-6be0-4cf6-86b9-b4740d03979c.jpg,RE_CCA,164,73,256,37
RE_CCA_21e9b6cb-d40f-490a-9058-a932ce4e6e44.jpg,RE_CCA,111,62,232,38
RE_CCA_76463cce-0637-45e4-b9de-5d44b436513b.jpg,RE_CCA,198,92,311,96
RE_CCA_1069b9fb-1aca-42ac-b828-9d3abaf8b6a2.jpg,RE_CCA,24,0,2,4
RE_CCA_85f210c4-1951-47ee-8da1-c685ee476a4d.jpg,RE_CCA,15,0,14,6
RE_CCA_a5e56076-b8c2-4ac2-9662-b66babd0f52e.jpg,RE_CCA,694,498,1227,182
RE_CCA_f15488bd-b706-4bc0-a971-309227818e43.jpg,RE_CCA,108,43,201,54
RE_CCA_05636ebc-2da6-43b2-85e8-ccf53bb788e1.jpg,RE_CCA,240,98,453,83
RE_CCA_eb7087d6-3911-491d-a32f-d06f14df68c4.jpg,RE_CCA,35,0,13,5
RE_CCA_17ab6c6e-f60b-4151-ac60-43f71704a76c.jpg,RE_CCA,58,3,45,33
RE_CCA_34eb5b96-d6e1-4cf3-89a6-328c726173da.jpg,RE_CCA,98,13,92,26
RE_CCA_eeebf90f-6739-48f1-bde6-39c165d61962.jpg,RE_CCA,144,45,201,21
RE_CCA_65dd73a8-d5ac-4e9f-889d-23987b68d2ce.jpg,RE_CCA,12,0,1,0
RE_CCA_987a6a99-4174-4170-85e3-d1425735e174.jpg,RE_CCA,195,74,259,52
RE_CCA_857cf489-c83a-4a46-a2c3-aa50834d3dd8.jpg,RE_CCA,217,110,375,109
RE_CCA_a26090d5-c945-4ba9-8719-0b6769cfa22a.jpg,RE_CCA,170,36,210,40
RE_CCA_d78e8a98-33e9-49f6-954b-c2c7d4ad3d01.jpg,RE_CCA,34,0,0,4
RE_CCA_ada97929-15a3-47aa-b63f-e6a07212d45c.jpg,RE_CCA,349,120,492,40
RE_CCA_545ecbbb-9fe5-455c-a950-c6a1991cf768.jpg,RE_CCA,50,11,47,2
RE_CCA_4b002c3d-792b-4c25-bb39-1de5be5ac486.jpg,RE_CCA,30,6,52,9
RE_CCA_eb80b660-5446-4631-b597-0d17d459f55f.jpg,RE_CCA,33,2,4,3
RE_CCA_e880ee05-fefa-4ba8-a310-2ad408b76744.jpg,RE_CCA,266,79,379,43
RE_CCA_1404e79a-3bb6-4d79-96cb-10a8602d330e.jpg,RE_CCA,163,84,321,41
RE_CCA_c591dec2-91fa-423e-b4fd-3a4fe39dce09.jpg,RE_CCA,25,5,10,7
RE_CCA_0e9ef273-46f5-4383-a5d0-150a23128ae2.jpg,RE_CCA,35,0,0,1
RE_CCA_e73b479b-e82c-4b0f-b524-c5b352bc5c90.jpg,RE_CCA,30,6,22,14
RE_CCA_d170b344-af8e-4aaa-ac0c-58192144e1bd.jpg,RE_CCA,46,12,82,7
RE_CCA_647c8373-68e2-4186-915e-7d6dd7b423c0.jpg,RE_CCA,168,71,354,71
SU_anth_670c7d2f-8e0c-4d50-829d-212fc2add510.jpg,SU_anth,227,93,308,46
SU_anth_de6a6e0b-b0ef-4c5e-9254-a9862b6d3b7f.jpg,SU_anth,160,45,215,17
SU_anth_3e612886-7ac7-4e51-85ad-2c9442ef4892.jpg,SU_anth,18,16,61,2
SU_anth_96d6e5bf-d925-42c8-bc87-e6ac05258c82.jpg,SU_anth,103,35,137,32
SU_anth_d1180ab2-d34e-476d-b493-1ebdaef3f3f6.jpg,SU_anth,497,294,776,90
SU_anth_2d6a2847-40fe-4466-a126-4ef444ef870d.jpg,SU_anth,57,24,122,28
SU_anth_7d843147-2a00-4eee-91b9-786cd8346f07.jpg,SU_anth,27,5,62,10
SU_anth_0c02448e-9f64-40d6-bd68-60d0ca0bde5a.jpg,SU_anth,95,53,234,24
SU_shell_f42da965-3fba-47b7-90e6-72c31bdfdabe.jpg,SU_shell,44,10,52,11
SU_shell_4539cadf-4297-47e8-8cb8-334eaae721fe.jpg,SU_shell,66,36,131,36
SU_shell_8034a8d0-3589-4e8d-af7e-99421bafd5f1.jpg,SU_shell,225,73,311,57
KE_bull_fe57f35e-27a7-4e06-a8c0-eb823044460a.jpg,KE_bull,82,29,79,15
SI_ccdd6eba-4829-4ac4-9fe4-2a63443bc157.jpg,SI,25,0,5,3
SI_7d015f9f-539b-4bbb-acda-65e4e9face91.jpg,SI,137,40,157,36
SI_696ba4ee-b283-4d77-ab77-48299f3b21b2.jpg,SI,56,11,48,9
SI_749fd8dc-3df5-421c-8499-f2baaaff3af9.jpg,SI,241,128,351,29
MS_bb9bb0ba-55ac-4be5-9350-3338cb66747f.jpg,MS,159,75,254,26
MS_871f7113-8c0c-4653-adf9-441c51bffabe.jpg,MS,209,162,526,66
MS_9290f884-642f-49d4-800a-209f9473d69b.jpg,MS,223,55,258,88
MS_9e715bdb-5e36-4e27-bf58-bce194691f85.jpg,MS,154,77,265,46
MS_2867f5b9-cb74-494b-a2c3-65dee5ab0aaf.jpg,MS,461,230,569,122
MS_07d75bd0-030d-44d6-ab20-5d51872c4ebb.jpg,MS,60,7,61,21
MS_52875cad-c767-47fc-a5b7-f9e81b9cccd5.jpg,MS,542,265,908,89
MS_a7aa09e8-5eb5-4f6c-b0f8-395c465c628a.jpg,MS,26,7,58,6
MS_86307984-d482-4b81-958d-ac807345dcfb.jpg,MS,2,0,0,0
MS_dd9d2483-04d3-4b34-82ec-2fe7bc876318.jpg,MS,93,64,200,26
MS_2a2d1a97-a9aa-4d1e-be17-c2193ab0cccc.jpg,MS,148,39,161,59
MS_a0a26237-05cc-4874-8e36-a4f72c29deda.jpg,MS,670,522,1206,253
MS_f6faac21-2692-4543-9ae1-2f5c7608b610.jpg,MS,337,149,430,72
MS_5faac228-8d67-46f5-a38c-c6788c957ffe.jpg,MS,104,58,250,28
MS_ddbe8704-4230-45b9-9c81-8c180fea5294.jpg,MS,287,118,437,48
MS_59891077-d49e-49d6-b96d-8e11b3edcd0a.jpg,MS,282,150,523,99
MS_97d42f2f-867c-47ea-bee7-7269817a385a.jpg,MS,36,2,7,9
MS_3e4e55b5-8461-4aab-ac37-e7f83e468820.jpg,MS,375,161,659,75
MS_936a64b6-baf7-4e5d-b99e-d0aaec5a46e6.jpg,MS,357,183,420,46
MS_74f75647-416b-4ac1-92c6-0ae66527cd33.jpg,MS,196,68,291,29
SU_cob_38bbdb1f-3660-4458-b618-28cf7d50747f.jpg,SU_cob,427,283,819,119
SU_cob_d2b6a924-3ce2-4aa1-8080-ff5b92fff00f.jpg,SU_cob,54,2,13,7
SU_cob_b2c074a8-6588-472e-a276-4b2111cadcda.jpg,SU_cob,296,147,321,47
SU_cob_643b7814-fc3d-4f55-b03b-585a777fc011.jpg,SU_cob,251,100,345,100
SU_cob_fcaf2851-d330-4c3b-b37e-42836c9e4e7f.jpg,SU_cob,371,234,593,37
SU_cob_0f954444-3bb6-4a29-b97a-59c19209fded.jpg,SU_cob,28,0,8,5
SU_cob_db11074d-a148-4995-bfe7-8818195ede8a.jpg,SU_cob,177,70,283,55
SU_cob_45320c6c-2991-4676-9ae5-57c5e82b559c.jpg,SU_cob,65,12,61,19
SU_cob_e68a5785-e646-42a6-978b-1046525acab8.jpg,SU_cob,587,234,764,50
SU_cob_9d1190b9-1df0-438c-8468-aecf81a76693.jpg,SU_cob,224,71,243,68
SU_cob_5ebaa8e9-b366-4783-aaba-af94855d46c3.jpg,SU_cob,152,39,201,41
SU_cob_6b345627-32ac-46d0-a73f-9815457d4176.jpg,SU_cob,49,14,18,3
SU_cob_dbf7f65c-49c6-48e6-9b6c-497501f908b5.jpg,SU_cob,233,62,240,41
SU_cob_3287f097-3ac8-4dcb-843f-93ff2a2a0ab2.jpg,SU_cob,83,24,100,37
SU_cob_86f0f209-5b5c-45e1-a61d-f8e3ee62f6a9.jpg,SU_cob,81,26,104,19
SU_cob_cd20d27b-477d-45d3-9418-0174c03cb26b.jpg,SU_cob,84,16,57,16
SU_cob_63d1b34e-4eeb-4b99-8117-2c169f5160bc.jpg,SU_cob,164,37,146,30
SU_cob_2cd9db20-73f1-4afc-8d77-b6abe75e3327.jpg,SU_cob,107,21,52,11
SU_cob_e8634929-e5b7-41ff-923d-ab53425c24f8.jpg,SU_cob,82,24,103,23
SU_cob_7cfc6288-6697-463d-8435-85151f263046.jpg,SU_cob,182,90,357,103
SU_cob_277ee259-71f8-477b-8cc9-e1e27e8c9602.jpg,SU_cob,127,43,104,24
SU_cob_6817ed7b-290a-48cc-a88a-4ba9ce526b8d.jpg,SU_cob,30,3,3,3
SU_cob_8dbda90e-0721-41ad-9bd8-db06d8904fb7.jpg,SU_cob,252,136,443,93
SU_cob_4d586c46-919b-4e80-92e6-0ea686e34ddb.jpg,SU_cob,264,93,466,62
SU_cob_536f4ca6-b0d5-4cf2-b8b8-d4be3ac56236.jpg,SU_cob,368,244,601,100
SU_cob_84d6b2c0-a49c-4a6f-aee5-7d2020c62a0e.jpg,SU_cob,107,34,191,43
SU_cob_b86283d6-c8e2-4398-9549-74c4b6cd4b98.jpg,SU_cob,124,66,171,24
